# id seg1 seg2 log10Jsquare_ave log10Jsquare_std J_Sti
348 20 178 -3.76482e+00 2.55576e-01 0.000000000e+00
349 20 257 -3.77162e+00 1.68481e-01 1.806705623e-08
350 20 476 -8.31451e+00 6.20363e-01 1.378755786e-14
351 20 557 -6.69511e+00 9.66250e-01 2.442156134e-08
352 20 589 -5.10670e+00 4.76081e-01 3.526426622e-07
353 20 609 -5.30503e+00 5.18489e-01 4.559234931e-08
354 20 626 -5.90008e+00 1.06952e+00 0.000000000e+00
355 20 735 -8.13901e+00 7.51583e-01 0.000000000e+00
356 20 776 -7.83874e+00 7.27041e-01 1.361459753e-17
357 20 781 -6.25900e+00 9.62611e-01 3.457040042e-11
358 20 808 -3.93821e+00 3.86388e-01 2.839280981e-09
359 20 815 -6.86221e+00 1.09520e+00 1.037311368e-06
360 20 927 -6.71110e+00 3.88315e-01 1.423302102e-13
361 20 946 -4.10424e+00 2.17803e-01 8.519173022e-10
362 20 992 -6.24997e+00 3.84318e-01 1.387016113e-08
363 20 999 -6.65242e+00 6.64007e-01 0.000000000e+00
364 21 73 -4.20666e+00 3.46404e-01 1.236776901e-10
365 21 123 -4.85840e+00 5.27037e-01 1.492072556e-11
366 21 153 -3.10898e+00 7.05689e-01 1.492702720e-08
367 21 209 -6.25478e+00 3.21747e-01 8.039901098e-13
368 21 210 -9.81122e+00 6.43847e-01 2.730088861e-18
369 21 296 -5.74667e+00 3.62961e-01 2.420777466e-14
370 21 353 -4.44739e+00 3.86423e-01 3.871440335e-09
371 21 393 -4.11790e+00 4.03165e-01 1.530276662e-08
372 21 404 -5.06465e+00 2.37564e-01 2.009069716e-14
373 21 423 -7.29759e+00 6.31483e-01 1.609430292e-16
374 21 588 -6.19165e+00 4.30965e-01 4.158008657e-16
375 21 749 -6.61898e+00 5.50165e-01 7.966762139e-18
376 21 844 -7.29647e+00 6.19958e-01 2.308120881e-14
377 21 848 -5.13594e+00 7.56414e-01 4.321984307e-15
378 21 953 -5.49576e+00 9.13181e-01 6.575132017e-13
379 21 969 -9.23456e+00 7.14801e-01 6.930344979e-19
380 22 82 -6.43519e+00 2.20140e-01 1.377968291e-10
381 22 98 -5.66461e+00 1.89471e-01 7.545191096e-12
382 22 100 -6.67656e+00 1.15899e+00 3.548004741e-11
383 22 207 -5.03985e+00 1.72829e+00 3.256985614e-08
384 22 359 -5.70816e+00 6.23449e-01 4.794518234e-10
385 22 546 -5.41082e+00 6.25258e-01 1.127359915e-10
386 22 651 -5.53767e+00 1.69105e+00 4.477662076e-07
387 22 681 -6.76612e+00 1.21174e-01 0.000000000e+00
388 22 687 -4.99293e+00 1.36075e-01 1.408860101e-10
389 22 732 -4.88557e+00 3.87894e-01 3.511507746e-09
390 22 771 -8.79363e+00 5.63812e-01 6.237163916e-14
391 22 779 -7.60266e+00 7.10084e-01 7.702812892e-12
392 22 832 -5.27488e+00 2.62765e-01 1.215442514e-12
393 22 958 -5.32041e+00 6.38937e-01 3.201734228e-08
394 23 135 -5.04523e+00 1.49423e-01 8.557819763e-11
395 23 193 -6.70287e+00 2.60834e-01 3.525035250e-13
396 23 214 -7.60411e+00 4.25394e-01 3.439630286e-12
397 23 247 -5.43351e+00 2.55078e-01 5.817415963e-10
398 23 292 -8.17813e+00 8.12020e-01 9.108337769e-12
399 23 304 -4.84802e+00 2.73776e-01 1.063612626e-06
400 23 317 -8.07296e+00 2.10250e-01 1.485203954e-14
401 23 408 -4.81377e+00 5.37427e-01 1.086987780e-07
402 23 441 -3.82767e+00 3.60810e-01 9.345899594e-08
403 23 445 -9.70933e+00 1.94028e+00 1.828370080e-16
404 23 500 -6.70816e+00 6.55526e-01 6.642482344e-16
405 23 551 -6.41566e+00 7.27880e-01 1.118027381e-09
406 23 578 -3.37423e+00 3.67580e-01 6.067651095e-08
407 23 599 -6.47133e+00 6.45080e-01 1.257171202e-07
408 23 644 -5.30301e+00 5.80151e-01 3.290665064e-10
409 23 715 -7.35881e+00 6.94081e-01 9.910572186e-15
410 23 822 -6.93970e+00 1.03977e-01 3.990583169e-12
411 24 41 -1.26505e+01 5.26462e-01 1.943990344e-18
412 24 119 -8.88388e+00 6.63038e-01 4.202464333e-14
413 24 254 -6.25328e+00 4.74488e-01 8.939128566e-14
414 24 352 -3.37335e+00 1.44921e-01 5.946387245e-11
415 24 380 -7.41515e+00 1.06569e+00 7.946617545e-15
416 24 463 -4.16630e+00 2.84764e-01 7.913342891e-10
417 24 487 -6.55605e+00 2.02412e-01 0.000000000e+00
418 24 602 -5.13545e+00 5.14740e-01 0.000000000e+00
419 24 717 -5.69279e+00 3.24466e-01 3.109992553e-14
420 24 801 -4.96144e+00 5.66015e-01 5.722376525e-10
421 24 821 -5.18338e+00 4.27384e-01 1.131985814e-12
422 24 916 -4.78121e+00 7.34276e-01 1.874912770e-14
423 24 930 -5.04327e+00 3.28320e-01 6.173901427e-10
424 24 944 -4.30859e+00 1.74200e-01 1.426905332e-09
425 24 952 -6.97085e+00 2.14307e-01 0.000000000e+00
426 25 169 -4.99647e+00 3.89175e-01 2.303027574e-08
427 25 237 -4.59879e+00 3.43052e-01 2.416546651e-08
428 25 305 -3.99000e+00 1.43611e-01 3.407662419e-08
429 25 363 -6.32378e+00 1.16868e+00 7.009234397e-09
430 25 407 -8.19689e+00 8.66069e-01 2.092449671e-11
431 25 527 -6.13772e+00 1.93858e-01 7.132890325e-11
432 25 638 -5.32078e+00 2.05978e-01 4.345694049e-09
