# id Eave Estd E_Sti
586 -0.91330 0.01468 2.121486866e-08
587 -0.84577 0.02604 8.833023442e-06
588 -0.83950 0.02295 1.252780964e-06
589 -0.81632 0.04285 7.431883756e-07
590 -0.78353 0.03833 1.401361173e-05
591 -0.88134 0.02306 2.037208234e-08
592 -0.75302 0.01354 3.446221647e-09
593 -0.88898 0.02406 3.213733938e-06
594 -0.91463 0.01242 3.938175731e-08
595 -0.96267 0.01836 9.313626889e-05
596 -0.79918 0.02156 4.190530398e-07
597 -0.82983 0.01568 1.741853380e-07
598 -0.83195 0.02742 1.525017392e-09
599 -0.91386 0.00988 8.211912187e-06
600 -0.85793 0.02125 4.770365778e-08
601 -0.85255 0.01960 6.919747433e-06
602 -0.73593 0.01172 5.003151978e-10
603 -0.93859 0.01973 3.678188387e-05
604 -1.03116 0.02875 1.161201093e-06
605 -0.80433 0.02106 2.214678431e-06
606 -0.79972 0.01908 6.180848049e-09
607 -0.83078 0.00764 4.593343680e-04
608 -0.77183 0.02152 2.437039669e-08
609 -0.89651 0.03233 8.193984372e-07
610 -0.85872 0.03969 6.362443531e-07
611 -0.69610 0.01328 3.710437789e-10
612 -0.78453 0.01308 4.542710642e-08
613 -0.75310 0.02692 4.467901837e-07
614 -1.12702 0.03260 9.087239648e-01
615 -0.78304 0.03092 1.470832684e-06
616 -0.82930 0.01833 1.288621035e-07
617 -0.79248 0.02690 3.202286215e-06
618 -0.92089 0.01496 5.642784309e-07
619 -0.86480 0.02725 1.223017661e-04
620 -0.73709 0.01802 1.164379285e-07
621 -0.92199 0.02321 2.157702093e-07
622 -0.84354 0.02438 4.099544389e-07
623 -0.81982 0.02606 2.472524575e-07
624 -0.81702 0.02936 4.503119123e-07
625 -0.74591 0.02059 1.825982174e-07
626 -0.93304 0.02212 2.717369097e-07
627 -0.86728 0.01420 1.580779768e-06
628 -1.01393 0.02082 1.284109853e-05
629 -0.82132 0.03358 4.632392463e-05
630 -0.85503 0.03273 2.526741369e-07
631 -0.78604 0.03029 1.450810894e-09
632 -0.99082 0.02283 9.501223072e-05
